"2018-03-15 at 15:39"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-15 15:39:30 448.50 28.38 15.33 50.99 61.59 0.0559 0.0884
2018-03-15 15:39:31 450.46 28.42 15.35 51.00 61.58 0.0561 0.0885
2018-03-15 15:39:32 450.96 28.41 15.34 51.00 61.55 0.0561 0.0884
2018-03-15 15:39:33 452.46 28.43 15.34 51.03 61.54 0.0562 0.0884
2018-03-15 15:39:34 454.38 28.36 15.30 51.02 61.53 0.0565 0.0883
2018-03-15 15:39:35 455.17 28.40 15.32 51.02 61.51 0.0564 0.0883
2018-03-15 15:39:36 455.36 28.34 15.29 51.02 61.53 0.0565 0.0883
2018-03-15 15:39:37 457.43 28.34 15.29 51.02 61.53 0.0567 0.0882
2018-03-15 15:39:38 458.42 28.34 15.29 50.99 61.54 0.0567 0.0882
2018-03-15 15:39:39 459.29 28.30 15.27 51.02 61.53 0.0569 0.0882
2018-03-15 15:39:40 459.69 28.26 15.24 51.03 61.51 0.0568 0.0880
2018-03-15 15:39:41 460.47 28.25 15.25 51.02 61.55 0.0570 0.0881
2018-03-15 15:39:42 463.05 28.28 15.26 51.02 61.53 0.0571 0.0881
2018-03-15 15:39:43 462.64 28.25 15.24 51.00 61.53 0.0571 0.0880
2018-03-15 15:39:44 463.35 28.22 15.23 50.99 61.53 0.0572 0.0880
2018-03-15 15:39:45 463.50 28.20 15.22 51.00 61.55 0.0572 0.0880
2018-03-15 15:39:46 465.45 28.20 15.22 51.02 61.55 0.0574 0.0879
2018-03-15 15:39:47 466.24 28.16 15.20 51.02 61.53 0.0575 0.0879
2018-03-15 15:39:48 466.71 28.20 15.21 51.02 61.53 0.0575 0.0880
2018-03-15 15:39:49 468.60 28.18 15.20 51.00 61.50 0.0577 0.0878
2018-03-15 15:39:50 469.02 28.18 15.19 51.00 61.49 0.0576 0.0878
2018-03-15 15:39:51 469.43 28.15 15.18 50.99 61.51 0.0578 0.0878
2018-03-15 15:39:52 470.98 28.16 15.19 50.99 61.51 0.0579 0.0878
2018-03-15 15:39:53 470.77 28.14 15.18 51.02 61.53 0.0578 0.0878
2018-03-15 15:39:54 470.34 28.13 15.17 51.02 61.52 0.0578 0.0878
2018-03-15 15:39:55 471.24 28.13 15.18 51.03 61.53 0.0580 0.0879
2018-03-15 15:39:56 473.71 28.15 15.19 51.02 61.56 0.0582 0.0879
