"2018-03-16 at 17:46"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2018-03-16 17:46:25 419.43 18.44 8.51 51.02 60.44 0.0522 0.0644
2018-03-16 17:46:26 419.50 18.36 8.44 51.02 60.42 0.0520 0.0641
2018-03-16 17:46:27 419.31 18.34 8.42 51.02 60.44 0.0522 0.0642
2018-03-16 17:46:28 419.63 18.30 8.41 51.03 60.49 0.0521 0.0641
2018-03-16 17:46:29 420.05 18.26 8.38 51.03 60.51 0.0523 0.0640
2018-03-16 17:46:30 421.13 18.30 8.41 51.02 60.53 0.0524 0.0642
2018-03-16 17:46:31 421.58 18.28 8.40 51.02 60.51 0.0524 0.0641
2018-03-16 17:46:32 422.03 18.26 8.37 51.02 60.47 0.0523 0.0640
2018-03-16 17:46:33 422.45 18.28 8.37 51.02 60.41 0.0524 0.0640
2018-03-16 17:46:34 424.23 18.32 8.42 51.02 60.46 0.0526 0.0642
2018-03-16 17:46:35 423.94 18.25 8.36 51.03 60.46 0.0525 0.0639
2018-03-16 17:46:36 424.90 18.32 8.42 51.03 60.47 0.0527 0.0642
2018-03-16 17:46:37 425.95 18.27 8.39 51.02 60.53 0.0528 0.0640
2018-03-16 17:46:38 426.19 18.28 8.40 51.02 60.51 0.0528 0.0642
2018-03-16 17:46:39 426.24 18.33 8.43 51.02 60.49 0.0528 0.0641
2018-03-16 17:46:40 426.09 18.26 8.38 50.99 60.51 0.0528 0.0641
2018-03-16 17:46:41 426.97 18.28 8.39 51.02 60.50 0.0529 0.0641
2018-03-16 17:46:42 428.25 18.30 8.42 51.02 60.55 0.0530 0.0642
2018-03-16 17:46:43 428.96 18.26 8.39 51.03 60.56 0.0531 0.0640
2018-03-16 17:46:44 428.74 18.22 8.36 51.02 60.56 0.0531 0.0640
2018-03-16 17:46:45 430.30 18.22 8.35 51.02 60.53 0.0532 0.0639
2018-03-16 17:46:46 430.45 18.17 8.28 51.02 60.40 0.0531 0.0637
2018-03-16 17:46:47 431.04 18.23 8.32 51.02 60.38 0.0532 0.0638
2018-03-16 17:46:48 432.75 18.21 8.32 51.02 60.44 0.0533 0.0638
2018-03-16 17:46:50 432.00 18.14 8.27 51.02 60.48 0.0533 0.0636
2018-03-16 17:46:51 431.71 18.09 8.24 51.03 60.50 0.0533 0.0636
2018-03-16 17:46:52 433.47 18.08 8.23 51.02 60.50 0.0535 0.0636
2018-03-16 17:46:53 433.66 18.07 8.22 51.02 60.51 0.0535 0.0635
2018-03-16 17:46:54 435.32 18.07 8.23 51.02 60.51 0.0537 0.0635
2018-03-16 17:46:55 435.62 18.04 8.20 51.02 60.51 0.0537 0.0635
2018-03-16 17:46:56 436.29 18.02 8.19 50.99 60.53 0.0538 0.0634
2018-03-16 17:46:57 436.39 17.99 8.16 51.02 60.53 0.0538 0.0634
2018-03-16 17:46:58 436.31 17.98 8.15 51.02 60.54 0.0538 0.0634
2018-03-16 17:46:59 436.90 17.95 8.14 51.03 60.55 0.0538 0.0632
2018-03-16 17:47:00 438.26 17.92 8.11 51.02 60.57 0.0540 0.0632
2018-03-16 17:47:01 439.25 17.91 8.11 51.02 60.55 0.0541 0.0632
2018-03-16 17:47:02 439.70 17.89 8.09 51.02 60.56 0.0541 0.0632
2018-03-16 17:47:03 439.62 17.80 7.99 51.02 60.44 0.0538 0.0627
2018-03-16 17:47:04 440.28 17.85 8.01 51.02 60.34 0.0540 0.0629
2018-03-16 17:47:05 441.40 17.83 7.99 51.02 60.33 0.0540 0.0628
2018-03-16 17:47:06 440.77 17.82 7.98 51.03 60.33 0.0540 0.0627
2018-03-16 17:47:07 440.62 17.81 7.98 51.02 60.38 0.0541 0.0628
2018-03-16 17:47:08 443.64 17.84 8.02 51.02 60.44 0.0544 0.0630
2018-03-16 17:47:09 443.71 17.75 7.95 51.00 60.45 0.0543 0.0626
